DATE,TIME PERIOD,TRANSACTIONS
31-10-1997,1997Oct,5804
30-11-1997,1997Nov,9881
31-12-1997,1997Dec,-16977
31-01-1998,1998Jan,22191
28-02-1998,1998Feb,19626
31-03-1998,1998Mar,13672
30-04-1998,1998Apr,12446
31-05-1998,1998May,17036
30-06-1998,1998Jun,11331
31-07-1998,1998Jul,-3345
31-08-1998,1998Aug,1062
30-09-1998,1998Sep,-7418
31-10-1998,1998Oct,17562
30-11-1998,1998Nov,-3132
31-12-1998,1998Dec,-37161
31-01-1999,1999Jan,472
28-02-1999,1999Feb,15424
31-03-1999,1999Mar,27800
30-04-1999,1999Apr,-7630
31-05-1999,1999May,16805
30-06-1999,1999Jun,-17455
31-07-1999,1999Jul,-25000
31-08-1999,1999Aug,4878
30-09-1999,1999Sep,22455
31-10-1999,1999Oct,22199
30-11-1999,1999Nov,507
31-12-1999,1999Dec,-28877
31-01-2000,2000Jan,13131
29-02-2000,2000Feb,4427
31-03-2000,2000Mar,-13638
30-04-2000,2000Apr,-25552
31-05-2000,2000May,-8608
30-06-2000,2000Jun,-22901
31-07-2000,2000Jul,-25504
31-08-2000,2000Aug,-11129
30-09-2000,2000Sep,-3809
31-10-2000,2000Oct,-17144
30-11-2000,2000Nov,-5676
31-12-2000,2000Dec,-17836
31-01-2001,2001Jan,-15097
28-02-2001,2001Feb,3501
31-03-2001,2001Mar,3325
30-04-2001,2001Apr,5805
31-05-2001,2001May,21470
30-06-2001,2001Jun,13411
31-07-2001,2001Jul,-4038
31-08-2001,2001Aug,-5148
30-09-2001,2001Sep,-3475
31-10-2001,2001Oct,-10474
30-11-2001,2001Nov,8364
31-12-2001,2001Dec,-9939
31-01-2002,2002Jan,24867
28-02-2002,2002Feb,-491
31-03-2002,2002Mar,16543
30-04-2002,2002Apr,1227
31-05-2002,2002May,9883
30-06-2002,2002Jun,-2300
31-07-2002,2002Jul,-2188
31-08-2002,2002Aug,-4957
30-09-2002,2002Sep,9803
31-10-2002,2002Oct,-3730
30-11-2002,2002Nov,4840
31-12-2002,2002Dec,-15661
31-01-2003,2003Jan,21424
28-02-2003,2003Feb,14224
31-03-2003,2003Mar,8113
30-04-2003,2003Apr,17797
31-05-2003,2003May,22969
30-06-2003,2003Jun,-15986
31-07-2003,2003Jul,11723
31-08-2003,2003Aug,-6054
30-09-2003,2003Sep,19804
31-10-2003,2003Oct,16755
30-11-2003,2003Nov,12268
31-12-2003,2003Dec,-40998
31-01-2004,2004Jan,14916
29-02-2004,2004Feb,18416
31-03-2004,2004Mar,12577
30-04-2004,2004Apr,7670
31-05-2004,2004May,28409
30-06-2004,2004Jun,8008
31-07-2004,2004Jul,-4558
31-08-2004,2004Aug,-505
30-09-2004,2004Sep,3371
31-10-2004,2004Oct,-2781
30-11-2004,2004Nov,2883
31-12-2004,2004Dec,-46160
31-01-2005,2005Jan,35843
28-02-2005,2005Feb,28682
31-03-2005,2005Mar,-10142
30-04-2005,2005Apr,11057
31-05-2005,2005May,-6928
30-06-2005,2005Jun,8822
31-07-2005,2005Jul,-1772
31-08-2005,2005Aug,-8601
30-09-2005,2005Sep,-9170
31-10-2005,2005Oct,15147
30-11-2005,2005Nov,42190
31-12-2005,2005Dec,-53810
31-01-2006,2006Jan,24864
28-02-2006,2006Feb,-6880
31-03-2006,2006Mar,6526
30-04-2006,2006Apr,216
31-05-2006,2006May,-20157
30-06-2006,2006Jun,4795
31-07-2006,2006Jul,-20088
31-08-2006,2006Aug,-26614
30-09-2006,2006Sep,-13001
31-10-2006,2006Oct,-9881
30-11-2006,2006Nov,1697
31-12-2006,2006Dec,-58636
31-01-2007,2007Jan,16870
28-02-2007,2007Feb,-3511
31-03-2007,2007Mar,-9955
30-04-2007,2007Apr,-24590
31-05-2007,2007May,34196
30-06-2007,2007Jun,-9247
31-07-2007,2007Jul,-23847
31-08-2007,2007Aug,-32603
30-09-2007,2007Sep,-14018
31-10-2007,2007Oct,2556
30-11-2007,2007Nov,-5101
31-12-2007,2007Dec,-15416
31-01-2008,2008Jan,14944
29-02-2008,2008Feb,-3492
31-03-2008,2008Mar,6909
30-04-2008,2008Apr,11327
31-05-2008,2008May,6810
30-06-2008,2008Jun,-4000
31-07-2008,2008Jul,3981
31-08-2008,2008Aug,-1176
30-09-2008,2008Sep,-37872
31-10-2008,2008Oct,-10781
30-11-2008,2008Nov,35263
31-12-2008,2008Dec,18318
31-01-2009,2009Jan,53242
28-02-2009,2009Feb,34233
31-03-2009,2009Mar,44307
30-04-2009,2009Apr,17471
31-05-2009,2009May,22591
30-06-2009,2009Jun,43999
31-07-2009,2009Jul,6847
31-08-2009,2009Aug,-524
30-09-2009,2009Sep,25812
31-10-2009,2009Oct,13274
30-11-2009,2009Nov,755
31-12-2009,2009Dec,-34179
31-01-2010,2010Jan,12985
28-02-2010,2010Feb,23615
31-03-2010,2010Mar,29262
30-04-2010,2010Apr,11057
31-05-2010,2010May,-11993
30-06-2010,2010Jun,16604
31-07-2010,2010Jul,-3882
31-08-2010,2010Aug,-11938
30-09-2010,2010Sep,2668
31-10-2010,2010Oct,101394
30-11-2010,2010Nov,-45770
31-12-2010,2010Dec,-83238
31-01-2011,2011Jan,18160
28-02-2011,2011Feb,5980
31-03-2011,2011Mar,-12029
30-04-2011,2011Apr,8066
31-05-2011,2011May,7381
30-06-2011,2011Jun,31078
31-07-2011,2011Jul,-14742
31-08-2011,2011Aug,-15157
30-09-2011,2011Sep,-13642
31-10-2011,2011Oct,-12383
30-11-2011,2011Nov,4224
31-12-2011,2011Dec,-4032
31-01-2012,2012Jan,59136
29-02-2012,2012Feb,47863
31-03-2012,2012Mar,42049
30-04-2012,2012Apr,3278
31-05-2012,2012May,28159
30-06-2012,2012Jun,17574
31-07-2012,2012Jul,-15940
31-08-2012,2012Aug,-4998
30-09-2012,2012Sep,34911
31-10-2012,2012Oct,10695
30-11-2012,2012Nov,28355
31-12-2012,2012Dec,-49449
31-01-2013,2013Jan,28423
28-02-2013,2013Feb,19036
31-03-2013,2013Mar,29992
30-04-2013,2013Apr,-425
31-05-2013,2013May,51997
30-06-2013,2013Jun,30218
31-07-2013,2013Jul,-35918
31-08-2013,2013Aug,4044
30-09-2013,2013Sep,-13228
31-10-2013,2013Oct,10561
30-11-2013,2013Nov,-5031
31-12-2013,2013Dec,-65598
31-01-2014,2014Jan,46083
28-02-2014,2014Feb,11278
31-03-2014,2014Mar,-163
30-04-2014,2014Apr,12007
31-05-2014,2014May,11009
30-06-2014,2014Jun,-6018
31-07-2014,2014Jul,-12401
31-08-2014,2014Aug,21966
30-09-2014,2014Sep,7719
31-10-2014,2014Oct,28957
30-11-2014,2014Nov,1172
31-12-2014,2014Dec,-49441
31-01-2015,2015Jan,51583
28-02-2015,2015Feb,2837
31-03-2015,2015Mar,-11402
30-04-2015,2015Apr,828
31-05-2015,2015May,-11020
30-06-2015,2015Jun,-15171
31-07-2015,2015Jul,-27806
31-08-2015,2015Aug,21095
30-09-2015,2015Sep,6122
31-10-2015,2015Oct,-18328
30-11-2015,2015Nov,4934
31-12-2015,2015Dec,-70484
31-01-2016,2016Jan,55879
29-02-2016,2016Feb,12376
31-03-2016,2016Mar,-3067
30-04-2016,2016Apr,-10300
31-05-2016,2016May,-7344
30-06-2016,2016Jun,-2143
31-07-2016,2016Jul,-29539
31-08-2016,2016Aug,-29163
30-09-2016,2016Sep,-35959
31-10-2016,2016Oct,-11118
30-11-2016,2016Nov,870
31-12-2016,2016Dec,-51199
31-01-2017,2017Jan,16809
28-02-2017,2017Feb,-12521
31-03-2017,2017Mar,8121
30-04-2017,2017Apr,-12873
31-05-2017,2017May,-2815
30-06-2017,2017Jun,-44991
31-07-2017,2017Jul,-22677
31-08-2017,2017Aug,9812
30-09-2017,2017Sep,-23164
31-10-2017,2017Oct,-27962
30-11-2017,2017Nov,-9541
31-12-2017,2017Dec,-44740
31-01-2018,2018Jan,17146
28-02-2018,2018Feb,8452
31-03-2018,2018Mar,-6661
30-04-2018,2018Apr,-12245
31-05-2018,2018May,21530
30-06-2018,2018Jun,3975
31-07-2018,2018Jul,-8957
31-08-2018,2018Aug,11257
30-09-2018,2018Sep,-10439
31-10-2018,2018Oct,-6265
30-11-2018,2018Nov,-7294
31-12-2018,2018Dec,-33202
31-01-2019,2019Jan,45286
28-02-2019,2019Feb,32186
31-03-2019,2019Mar,-15800
30-04-2019,2019Apr,-13513
31-05-2019,2019May,9449
30-06-2019,2019Jun,-19869
31-07-2019,2019Jul,527
31-08-2019,2019Aug,6785
30-09-2019,2019Sep,-8358
31-10-2019,2019Oct,-13680
30-11-2019,2019Nov,-10678
31-12-2019,2019Dec,-30948
31-01-2020,2020Jan,19658
29-02-2020,2020Feb,20585
31-03-2020,2020Mar,86125
30-04-2020,2020Apr,92871
31-05-2020,2020May,69397
30-06-2020,2020Jun,37508
31-07-2020,2020Jul,-8746
31-08-2020,2020Aug,-976
30-09-2020,2020Sep,7919
31-10-2020,2020Oct,-40803
30-11-2020,2020Nov,-31482
31-12-2020,2020Dec,-59708
31-01-2021,2021Jan,32384
28-02-2021,2021Feb,12523
31-03-2021,2021Mar,3214
30-04-2021,2021Apr,-39792
31-05-2021,2021May,-4799
30-06-2021,2021Jun,-20664
31-07-2021,2021Jul,-34834
31-08-2021,2021Aug,-289
30-09-2021,2021Sep,-17529
31-10-2021,2021Oct,-42706
30-11-2021,2021Nov,4550
31-12-2021,2021Dec,-31796
31-01-2022,2022Jan,10350
28-02-2022,2022Feb,28306
31-03-2022,2022Mar,9194
30-04-2022,2022Apr,-14838
31-05-2022,2022May,33492
30-06-2022,2022Jun,16989
31-07-2022,2022Jul,-24348
31-08-2022,2022Aug,-26247
30-09-2022,2022Sep,8302
31-10-2022,2022Oct,3255
30-11-2022,2022Nov,16638
31-12-2022,2022Dec,-42975
31-01-2023,2023Jan,12691
28-02-2023,2023Feb,28616
31-03-2023,2023Mar,6722
30-04-2023,2023Apr,-19082
31-05-2023,2023May,-29865
30-06-2023,2023Jun,27950
31-07-2023,2023Jul,-24115
31-08-2023,2023Aug,25579
30-09-2023,2023Sep,10961
31-10-2023,2023Oct,6449
30-11-2023,2023Nov,4589
31-12-2023,2023Dec,-16424
31-01-2024,2024Jan,16349
29-02-2024,2024Feb,35130
